ID,spiking_times
1,"[3057.0500000002075, 3157.1000000005715, 3257.3500000009362, 3357.600000001301, 3457.8000000016655, 3558.00000000203, 3658.2000000023945, 3758.5000000027594, 3858.8500000031245, 3959.100000003489]"
2,"[3008.750000000032, 3023.950000000087, 3139.350000000507, 3155.300000000565, 3267.9000000009746, 3283.0000000010295, 3399.5000000014534, 3415.7500000015125, 3527.75000000192, 3542.8000000019747, 3659.8000000024003, 3676.3500000024605, 3787.9000000028664, 3803.0000000029213, 3919.800000003346, 3936.250000003406]"
3,"[3051.150000000186, 3062.8000000002285, 3075.7500000002756, 3183.7000000006683, 3195.3500000007107, 3208.300000000758, 3316.350000001151, 3328.0000000011933, 3340.90000000124, 3448.900000001633, 3460.5500000016755, 3473.5000000017226, 3581.5000000021155, 3593.150000002158, 3606.100000002205, 3714.100000002598, 3725.7500000026403, 3738.7000000026874, 3846.7500000030805, 3858.400000003123, 3871.35000000317, 3979.400000003563, 3991.0500000036054]"
4,"[3078.950000000287, 3087.350000000318, 3095.600000000348, 3104.2500000003793, 3114.300000000416, 3225.8500000008216, 3234.250000000852, 3242.500000000882, 3251.1500000009137, 3261.2000000009502, 3372.750000001356, 3381.1500000013866, 3389.4000000014166, 3398.050000001448, 3408.1000000014847, 3519.6500000018905, 3528.100000001921, 3536.3500000019512, 3545.0000000019827, 3555.0500000020193, 3666.600000002425, 3675.050000002456, 3683.300000002486, 3691.9500000025173, 3702.000000002554, 3813.5500000029597, 3821.9500000029902, 3830.2000000030203, 3838.8500000030517, 3848.9000000030883, 3960.400000003494, 3968.8500000035247, 3977.1000000035547, 3985.750000003586, 3995.7500000036225]"
5,"[3039.5000000001437, 3069.6500000002534, 3160.6000000005843, 3190.800000000694, 3281.800000001025, 3311.9000000011347, 3402.950000001466, 3432.8500000015747, 3524.0500000019065, 3553.850000002015, 3645.0500000023467, 3674.9000000024553, 3766.100000002787, 3795.9500000028956, 3887.000000003227, 3917.050000003336]"
